county,population,income,age,total_doses,pfizer_doses,moderna_doses,jj_doses,partially_vaccinated,fully_vaccinated,at_least_one_dose,percentage_of_county_at_least_one
Alameda,1670000,102125,37.6,1491643,883191,522834,85618,858077,630981,943993,0.565265269
Alpine,1146,64688,44.3,1441,41,1393,7,806,633,814,0.710296684
Amador,37829,61198,50.5,27280,6177,20445,658,16719,10487,17447,0.46120701
Butte,227075,48443,37.1,138465,60109,73426,4930,75150,63054,80093,0.352716063
Calaveras,45235,58151,52.1,30252,11608,18086,558,17114,12975,17801,0.393522715
Colusa,21464,56704,35.1,12366,2532,9249,585,7141,5213,7729,0.360091316
Contra Costa,1150000,101618,40,1089291,685990,367611,35690,609593,478224,645513,0.561315652
Del Norte,27424,45258,38.6,14358,4992,8724,642,7999,6335,8610,0.313958576
El Dorado,186661,80582,45.8,133805,61156,68277,4372,75487,57900,79867,0.427871918
Fresno,994400,52629,32.5,627748,291323,312814,23611,356183,269364,383597,0.385757241
Glenn,27897,47395,36.6,16215,5235,10142,838,8778,7405,9611,0.344517332
Humboldt,135768,45528,38,98454,47027,47301,4126,56216,41935,60349,0.444500913
Imperial,180216,45834,32.4,108529,48437,51737,8355,64322,44024,72782,0.403859813
Inyo,18085,52874,45.7,13737,4829,8527,381,7686,6042,8068,0.446115565
Kern,896764,51579,32,467865,221816,223904,22145,261061,205857,283116,0.315708481
Kings,150075,53865,31.7,61111,24646,32805,3660,34732,26384,38453,0.256225221
Lake,64148,42475,45.6,40165,11736,26897,1532,22266,17832,23797,0.370970256
Lassen,31185,56362,36,10961,1556,8732,673,5602,5312,6277,0.201282668
Los Angeles,10100000,68093,36.7,7608373,3848322,3449688,310363,4411423,3180359,4721262,0.467451683
Madera,155013,52884,33.9,88567,41373,43792,3402,50254,38072,54382,0.350822189
Marin,259666,126373,47.4,298205,177213,112987,8005,166135,131538,174134,0.670607627
Mariposa,17540,51199,51.4,9614,1382,7878,354,6194,3395,6576,0.374914481
Mendocino,87422,49233,42.8,70559,36604,31823,2132,39189,31061,41333,0.472798609
Merced,274765,57745,31.4,135450,73405,55907,6138,79811,54038,86114,0.313409641
Modoc,8938,45149,47.7,4565,483,3819,263,2307,2252,2568,0.287312598
Mono,14174,63018,38.3,13923,8179,5561,183,7366,6525,7552,0.532806547
Monterey,435594,70681,34.7,319505,139363,165872,14270,185382,133403,199702,0.458459024
Napa,140530,84753,41.1,134865,64427,66976,3462,78111,56652,81569,0.580438341
Nevada,99092,63240,50.1,72334,39264,31372,1698,41454,30643,43149,0.43544383
Orange,3190000,89759,38.3,2531590,1337316,1122644,71630,1458863,1066666,1532098,0.480281505
Placer,393149,88592,42.3,304215,165439,132431,6345,173049,130637,179436,0.456407113
Plumas,18699,53270,52.2,13116,925,11505,686,6827,6256,7510,0.401625755
Riverside,2450000,66964,35.8,1497323,791424,663783,42116,864482,630020,909425,0.371193878
Sacramento,1540000,69767,36.4,1045971,546036,472447,27488,599638,444263,627239,0.407298052
San Benito,59416,81977,35.5,41940,19632,20078,2230,24381,17305,26559,0.447000808
San Bernardino,2170000,63857,33.6,1198145,657039,502358,38748,694189,502016,733095,0.337831797
San Diego,3340000,79079,36.1,2725576,1361646,1293691,70239,1577108,1146513,1976651,0.591811677
San Francisco,883305,112376,38.3,885457,543823,303863,37771,515820,368289,553603,0.62674048
San Joaquin,752660,64119,34.5,442079,231615,193808,16656,260364,180015,278184,0.369601148
San Luis Obispo,284010,71148,39.6,220542,110581,102231,7730,125124,94992,132865,0.467818035
San Mateo,769545,124425,39.9,737382,416900,291840,28642,427518,308605,456332,0.592989364
Santa Barbara,446527,77472,34,351872,194925,141959,14988,203089,148137,218049,0.488322095
Santa Clara,1940000,126606,37.2,1728678,1002900,652358,73420,1051733,673777,1125475,0.580141753
Santa Cruz,274255,86941,37.9,250539,110607,134425,5507,148907,101209,154439,0.563121912
Shasta,179085,50905,41.8,92311,37218,51141,3952,51765,40437,55703,0.311042243
Sierra,2930,48125,55.5,2591,146,2437,8,1341,1245,1349,0.460409556
Siskiyou,43540,44200,48,25388,10357,14367,664,14107,11251,14772,0.339274231
Solano,446610,84395,38.5,325674,161674,156783,7217,191206,133859,198422,0.444284723
Sonoma,499942,81395,42.4,461029,237219,211085,12725,260615,199629,273312,0.546687416
Stanislaus,549815,60321,34.5,335063,180840,142587,11636,196983,135545,209664,0.38133554
Sutter,95872,56955,35.7,59064,20478,35619,2967,32703,26193,35658,0.371933411
Tehama,63373,42899,40.9,26694,8262,17746,686,14502,12154,15192,0.239723542
Trinity,12862,38497,51.8,6747,719,5745,283,3813,2927,4094,0.318301975
Tulare,465861,48817,31.4,259902,143953,108663,7286,145006,114402,152319,0.326962334
Tuolumne,53932,56493,48.4,37803,9362,28003,438,20978,16662,21484,0.398353482
Ventura,850967,84566,38.4,681962,335542,323531,22889,387809,292954,410749,0.482684992
Yolo,214977,65923,31,177440,81059,91494,4887,103861,73308,108780,0.506007619
Yuba,75493,52624,32.5,33125,9944,20950,2231,18251,14814,20477,0.271243691